aniofiscal,fecha,deudapde,
2004,2004-12-31,2123974740.36, 
2005,2005-12-31,3336631852.00,
2006,2006-12-31,5040102431.00,
2007,2007-12-31,6039362968.00,
2008,2008-12-31,6681945102.00,
2009,2009-12-31,6761742707.00,
2010,2010-12-31,6453049705.00,
2011,2011-12-31,6674113864.05,
2012,2012-12-31,7733074986.52,
2013,2013-12-31,7036279059.04,
2014,2014-12-31,5936244556.00,
2015,2015-12-31,4767294722.00,
2016,2016-12-31,3868475187.00,
2017,2017-12-31,3423532479.95,
2018,2018-12-31,2761692477.35,
2019,2019-12-31,2232568749.55,
2020,2020-03-31,2005243936.00,
