codentidad,nombre,tipoentidad
2100,CAIXABANK,entidad-financiera
0182,Banco Bilbao Vizcaya Argentaria (BBVA),entidad-financiera
1000,Instituto de Crédito Oficial,entidad-financiera
E05024301,Ministerio de Industria Comercio y Turismo,administracion-general-del-estado
2038,BANKIA,entidad-financiera
0081,BANCO DE SABADELL,entidad-financiera
0049,BANCO SANTANDER,entidad-financiera
2085,IBERCAJA BANCO,entidad-financiera
3058,CAJAMAR BANCO RURAL ,entidad-financiera
3191,CAJA RURAL DE ARAGÓN (BANTIERRA),entidad-financiera
3080,CAJA RURAL DE TERUEL,entidad-financiera
